,"1 if yes, 0 if no","1 if yes, 0 if no",Comments or Questions,
"Currently, the CoSA online payment system for bills (ie: monthly parking) requires using Internet Explorer that doesn't even exist anymore. This is a super basic pain point for everyday life and an easy fix. Super disrupting monthly just trying to pay a bill. They require paper checks or a phone back and forth to pay a small bill. The hours  this takes is costly. There are many larger issues like hyperconnectivity to improve healthcare, transportation, basic services (ie: water, safety, etc.) that could make a huge personal and economic impact on citizens, businessnesses, and visitors.",1,0,,
"Help me secure rental housing, housing assistance and help with improving my credit. Easier access to for sale homes before investors buy them.",0,1,,
"Safety, security, and stability.",0,0,,
"Make city services more efficient. Whether that is access to city owned facilities, digitize forms/paperwork or increase phone service attendants. Think LEAN!",0,0,,
Increased public transportation such as rail in order to connect areas outside of the downtown area.,0,1,,
Better public transportations,0,0,,
"I would like technology to better inform local decisions, specifically, how to make our city more resilient and environmentally friendly. ",1,1,,
Allow me to get a text message on my trash day or if the day has changed that week.  Allow me to find free parking downtown (if available) or spots that are convenient with access.  Provide more ways to pay for parking downtown that are seamless and convenient.  Show me a list of all the activities around the city by date/time/price so I know what is going on.,1,1,,
Be able to access public transit with apps,1,1,,
an easily website or app that can be used from cel phone.,1,1,,
Providing open access speeds up action times.,0,1,,
"Equitable internet & digital device access, piloting new technologies & incentivizing smart city tech companies to be in SA, actual reliable workable transit/rail options that will also help reduce CO2 emissions & make the productivity gap smaller, new energy infrastructure",1,1,,
"We can use technology to design permaculture smart cities where less concrete -highways - parking lots - box stores can be made into parks, green spaces, and self-sufficient productive gardens for pollinators, edible food, and overall sustain the health and ecosystem of our existence.  ",1,0,,
Free reliable Wi-Fi throughout the city/public areas,1,1,,
Scan codes at bus stops,1,0,,
"Open data, better user centered design of services, improved public transportation, surveillance transparency",1,1,,
Wifi made more accessible. The city website made easier to navigate. Make the technology mobile phone friendly.,1,1,,
Internet as an unencumbered civic utility.,1,1,,
Access to information and easy to use the platform to interact with government. Make better decisions by including residents' input.,1,1,,
ALPR sited in receptive neighborhoods so logs can help track down criminals,1,0,,
"Why is this a question? It is 2022, why would technology not be used to improve public services?",1,0,,
Electronic updates on city bus/public transportation schedules.,1,0,,
Traffic light sensors that detect pedestrians and oncoming traffic,1,0,,
text alerts when there is a active shooter or traffic jam/accident,1,0,,
"Access to evidence-based public health related data. It's hard to decipher what's ""true"" from various social media platforms. ",1,1,,
Connect complimentary services across departments in order to provide a holistic response.,0,0,,
"More accessible and easy to navigate websites and information about public services, including about transportation and healthcare options. Increasing online service options for different public services, like self serve portals or online meetings where possible or for contacting the city to get information or forms.",0,1,,
Improving public transportation to shopping locations would lesson traffic and increase efficiency.,0,1,,
To help safely and securely clear trash and litter from cities,0,0,,
Notifications of the way technology is already being used. An app for bus routes,1,1,,
Classes,0,0,,
Internet access,1,1,,
Better live data,1,0,,
"Better access to internet , better sidewalks an roads",1,1,,
"Update 
D 
Updated safety info
",0,0,,
Input for highway needs (new & improve),0,0,,
Improve access to info.;  Continue to support libraries and parks;  Bringing more Wi-Fi spots for people to access.,1,1,,
Easier interaction and ways to contact the city with questions or comments,0,0,,
Better understand demand timing (eg rush hour) and adjust and align service offerings to satisfy demand.,0,0,,
Inclusive design,1,0,,
Access to information is critical for people to have to manage their own health and healthcare. It is critical that they know how to get evidence based information and not have to rely on social media means.,1,1,,
Better accessibility,0,1,,
Apps to make information about public services more available to the public would be great.,1,1,,
The ability to receive emails regarding available funding programs to assist in utility services.,1,0,,
"I would absolutely love the development of a commuter rail/train throughout San Antonio. It would help to reduce all of the traffic in San Antonio and therefore be more environmentally friendly. You could create stops at all of the major workplaces and event centers. I also think that we could do so much to integrate technology to improve our environment, especially to reduce our effect on climate change.  We could create environmentally friendly green parks on all of the roofs in downtown and major buildings. We could use machines to reduce the amount of carbon in our air especially in parts of the city that are known to create more carbon emissions. This would improve our public's rate of asthma and respiratory related incidences and improve our populations quality of life. ",1,1,,
Public cameras and speeding cameras,1,0,,
Ease of availability to all.,0,1,,
enhancing the relationship between the citizen and public services.  Smoother access to public services.,0,1,,
Using technology on the back-end and creating an unbiased way to identify the areas that need the most improvement (instead of going where the  money is - we need to create an equitable way to do this),1,0,,
Make it easier and safer to access the internet.,1,1,,
Expand internet connectivity to economically challenged neighborhoods to ensure that all children have internet access to narrow the digital divide and ensure equal opportunities in education,1,1,,
In some way to better inform people about resources available to them.,0,0,,
"It's about time we entertain a bullet train. One that stops in 
San Antonio but is capable of going to Austin, Dallas, and Houston.",0,1,,
Improve traffic conditions,0,0,,
Going green.  More electric vehicles.  Better communication through the latest tech.,1,0,,
"Perhaps having an affordable internet service for ALL San Antonio Residents, especially those areas that have been forgotten and keep being forgotten.",0,1,,
To make our lives easier and reduce inequities across the city,0,0,,
Create protected bicycle lanes.,0,1,,
"I love the 311 to fix potholes.   I'd like safer streets and less congestion on highways, especially in case of wrecks.",0,0,,
More options to take care of things online in an easy to understand way.,1,1,,
Easier to find and request services.,0,1,,
"Just using technology to help poorer areas get the knowledge to connect with services that can help them, like help to find cheap and good food, clothes, and medical advice and knowledge services.",1,1,,
"Real-time, specific bus info (arrivals, departures) at the station and integrated with Google maps. No more apps please.",1,1,,
Stop wasting money,0,0,,
"send text msgs about alerts in the city, regional or area specific, about trash, garbage, recycle, traffic light/pavement/construction and street light maint. including more public services.",1,1,,
Make it all connected...incorporate AI and data to make public services EASY and accessible for ALL people in the language that is most comfortable for them.,0,1,,
"Technology should be easy, accessible and implemented across all city services. For example, I should be able to pull a garage sale permit from my mobile phone, I should be able to report a non emergency issue and know where to do that without scouring the whole internet. ",1,1,,
"Keep interfaces for public engagement simple! 311 is a mess and does not have enough categories, and citizens don't have access to see resolution notes. It's so frustrating! ",0,1,,
Opportunities for me to connect with my government and share my voice.  The ability to access online resources easily.  Opportunities for me to access healthcare including telehealth.  Improve response times for services like the Fire Department or 311.,1,1,,
"Upgrade the power and electricity infrastructure so the power doesnÕt go out every time it gets cold. The city can use technology to keep us informed about Covid and other important public health or safety news. Use technology to reduce pollution, ban single use plastics, better recycling facilities and keep our city clean and green. If you check the weather channel app, San Antonio has several days a week when the air quality is hazardous. I bet you didnÕt know that. The city should know that. We are a very polluted city. Driving in San Antonio is a death sentence, speeders and bad drivers are the norm and the city does nothing to monitor or control it. I want red light cameras and police monitoring the speeders in my area of town which is Vance Jackson, Lockhill Selma, Huebner and Wurzbach area. ItÕs not safe to drive with speeders driving 60mph in front of our schools and houses. Put cameras to ticket these speeders or have police around to catch them and fine them. If you go the speed limit on Vance Jackson (35), youÕre subjected to honking, tail gaiting and aggressive road rage behavior from the drivers behind you. IÕve had several incidents happen to me simply by going the speed limit. ItÕs scary and dangerous and the city does nothing   ",1,0,,
"I would like technology to specifically be used to improve public transportation options, including trains",1,0,,
Look into permanent resolutions for connectivity issues and wireless access throughout the city.,0,1,,
Communication equipment/other,0,0,,
better highway systems and roads to reduce traffic.,0,0,,
Something thatÕs attainable but city leadership doesnÕt have the belief in their team to execute.,0,0,,
"better systems create better quality. Use technology to inform residents of San Antonio on critical actions and decisions, reach out to residents using Nextdoor app, Facebook, etc.",1,1,,
"Install cameras monitoring public spaces and parks, have drive thru electric vehicle charging stations, install solar panels on all city buildings, have battery backups.",1,0,,
Using popular media outlets (like social media) more effectively to communicate information. Each division should have it's own social media page to get the word out about what's going on.,0,0,,
"Move more services, fees, billings and related collections online.",0,1,,
By creating a commuter rail. A bus system between Austin and San Antonio only incentivizes VIA> It will take hours to make the commute and people cannot travel 3 hours each way to get to their job.,0,1,,
provide inexpensive internet for the less fortunate and elderly.,1,1,,
"Provide up to date, straight forward, easy to access information that will allow me to choose public services when needed. ",1,1,,
Online reporting,0,0,,
I would like for it to be used to help make it easier to get a hold of services,0,0,,
Efficiency,0,0,,
Using older technologies to their fullest. Telephones that are answered by real people etc.,1,0,,
"que se usara la tecnologia para ayudar a la comunidad a mejorar el uso de los servicios publicos, y ahorrar de una manera mas trasparente, usar la tecnologia para improvisar, avanzar, prevenir con sugerencias o ideas para ser incluidos desde nuestros hogares ",0,0,,
"I would like technology to be used for communication.  To inform citizens of events, accidents, scheduled maintenance, etc.",1,1,,
Street lights synched using WiFi technology. Real time traffic alerts.,1,0,,
"Cameras in and around schools, high crime areas and tourist areas would be great for safety reasons",1,0,,
"Create efficient, affordable solutions in the realms of public transportation, environmental safety and quality, and medicine. Public rail service technologies should be implemented in San Antonio where the current public transportation system offers limited utility to a small portion of the population. Rail service and improved public transportation would help reduce traffic in San Antonio, reduce pollution, reduce congestion, and improve public safety be removing drivers from the roadways. It also makes the city more accessible to visitors and improves quality of life for the city's workers who must commute to work but struggle to do in a timely and affordable manner due to the current state of VIA.",1,1,,
Gratis,0,0,,
"Creating simple to use apps that provide real time information.  For example, software applications that keep track of public busses to see route information, or hardware sensors built into the road reflectors the work with already built in car sensors to keep track of traffic flow on our roads and highways. ",1,1,,
more easily navigable website.,0,0,,
Hear community voices and see what is needed in each area,0,0,,
DonÕt know,0,0,,
Use data to improve water and air quality and thereby improve the quality of life of San Antonio residents.,1,0,,
Que todo influyera en favor de mejorar,0,0,,
"accessibility of public services through mobile devices and affordable, sustainable mass transportation",0,1,,
"Citizen voting, access to parking spots, ",0,0,,
Help deliver better and easy services to elderly. They get left behind when it comes to technology.,1,1,,
Easy to find detailed information on all types of public services. Most current news and updates,0,1,,
M‡s comunicaci—n,0,0,,
Make internet accessible and affordable in all homes.,1,1,,
Better communication of services,0,1,,
Complete projects and other activities faster,0,0,,
proporcionando mas informacion  sobre nuevas oportunidades de todo tipo  para los residentes.,0,0,,
eliminating the use of paper. I don't think San Antonio should lose to much of its traditional character that's what makes our city unique. Many are not looking to create a digital world especially in San Antonio just a sprinkle of technology.,0,0,,
"It would be nice to have a central database of video that might be available in an area, from businesses or ring doorbells or traffic cameras - not storage, but something like the alarm permit system where police can look up an area, see if there is video, and find contact information for the person responsible for the video.",0,0,,
"Locating information on housing support and other social services is confusing and frustrating. I work in a library and time and time again assist patrons through a very convoluted way to find the information they need, and they often require 2 or more trips to the library to conduct their research.",0,1,,
"As a pedestrian, i have to be careful when trying to use the crosswalk. I may have the right of way, but drivers don't respect pedestrian. They should have camera's or some type of technology to discourage drivers from ignoring pedestrian right of way. Any part of Hildebrand , San Pedro and Fredericksburg .",1,0,,
"AI backed online chat service to answer common questions, making easy access to outage information.",0,1,,
Visually impaired people can have easier access to technology,1,1,,
do we use smart technology with SAPD on gunshots to alert SAPD before a call is even received?  being heard like South Bend Indiana has done. If not called in - police there canvas neighborhood and meet and talk with residents in area,1,0,,
"I like the 311 app but not it's gamification. I just need an app that won't collect personal data but will get the job done. If I see a problem then I can report it via the app. Simple. 
I would like an app that maps our park system with exceptional UX design. Something searchable, indexed, and well planned with functional links out to other city services. ",1,1,,
"To provide the community with affordable internet in their homes so they can access public information, contact health services, and enhance their education.",0,1,,
Process applications efficiently.,0,0,,
Update old computers in all the public libraries.,1,0,,
Improved accessibility to learn about what public services are available and the importance of each of them.,0,1,,
More direct communication from City about neighborhood meetings and also services available.  Most people don't know about all the things the City offers.,0,0,,
"Monitor and prioritize areas of the City to focus on improving clean air, water, and cooler temperatures,  ensure Safe sidewalks and streets for walking and wheeling connected to green space and convenient and affordable transportation options and services (library, school, parks grocery, etc.). ",0,0,,
Upgrading city video cameras and adding cameras to river walk/downtown area. To decrease crime.,1,0,,
attempting to become carbon neutral,0,0,,
better interaction with the public,0,0,,
Insure my personal information is not compromised.,0,1,,
use it to notify public of road closures or emergencies,1,1,,
An open vote application for voting on public housing development. I think dense missing middle housing that is rent to own that matches the residential design aesthetic in defunct shopping spaces would be a better development utilization than twisting arms to build in the middle of established residential areas. This lessens housing demand and is not expecting private citizens to fill in those market demands with faulty solutions like casitas. It's also an easier fix than lobbying for zone changes if it's enacted by the city as an ordinance.,0,0,,
awareness of programs & services,0,1,,
"To make services more efficient, less time consuming.",0,0,,
Measuring traffic data and building roads accordingly.,0,0,,
Ease,0,0,,
Send out more Emergency alerts. Make technology easier for disable persons.,1,1,,
More free public Wi-Fi,1,1,,
More integration with mobile apps and notifications.,1,1,,
Technology to improve public services --- have more Road Signs be visible to view when driving in the night hours - making sure that the street lights are working properly,1,1,,
"public transport
",1,1,,
Solar panels,1,0,,
"Use technology to Allow more public input and authority over decisions that City Council makes, must have voters approval before making changes or decisions on anything.   ",1,1,,
climate change needs to be addressed,0,0,,
free access for low income neighborhoods,0,1,,
More accessible for students in low income households.,0,1,,
